Test, Algo, NodesExp, Shortest , Pass,,,,,,
23, MBAstar,25,0, passed,,,,,,
24, MBAstar,25,0, passed,,,,,,
25, MBAstar,25,0, passed,,,,,,
26, MBAstar,25,0, passed,,,,,,
27, MBAstar,25,0, passed,,,,,,
28, MBAstar,25,0, passed,,,,,,
29, MBAstar,25,0, passed,,,,,,
30, MBAstar,25,0, passed,,,,,,
31, MBAstar,25,0, passed,,,,,,
32, MBAstar,25,0, passed,,,,,,
33, MBAstar,25,0, passed,,,,,,
34, MBAstar,25,0, passed,,,,,,
35, MBAstar,25,0, passed,,,,,,
36, MBAstar,25,0, passed,,,,,,
37, MBAstar,25,0, passed,,,,,,
38, MBAstar,25,0, passed,,,,,,
39, MBAstar,25,0, passed,,,,,,
40, MBAstar,25,0, passed,,,,,,
41, MBAstar,25,0, passed,,,,,,
42, MBAstar,64,0, failed,,,,,,
43, MBAstar,64,0, failed,,,,,,
44, MBAstar,64,0, failed,,,,,,
45, MBAstar,64,0, failed,,,,,,
46, MBAstar,64,0, failed,,,,,,
47, MBAstar,64,0, failed,,,,,,
48, MBAstar,64,0, failed,,,,,,
49, MBAstar,64,0, failed,,,,,,
50, MBAstar,64,0, failed,,,,,,
51, MBAstar,64,0, failed,,,,,,
52, MBAstar,64,0, failed,,,,,,
53, MBAstar,56,0, failed,,,,,,
54, MBAstar,56,0, failed,,,,,,
55, MBAstar,56,0, failed,,,,,,
56, MBAstar,56,0, failed,,,,,,
57, MBAstar,56,0, failed,,,,,,
58, MBAstar,56,0, failed,,,,,,
59, MBAstar,56,0, failed,,,,,,
60, MBAstar,56,0, failed,,,,,,
61, MBAstar,56,0, failed,,,,,,
62, MBAstar,37,0, passed,,,,,,
63, MBAstar,37,0, passed,,,,,,
64, MBAstar,37,0, passed,,,,,,
65, MBAstar,37,0, passed,,,,,,
66, MBAstar,37,0, passed,,,,,,
67, MBAstar,37,0, passed,,,,,,
68, MBAstar,37,0, passed,,,,,,
69, MBAstar,37,0, passed,,,,,,
70, MBAstar,37,0, passed,,,,,,
71, MBAstar,37,0, passed,,,,,,
72, MBAstar,37,0, passed,,,,,,
73, MBAstar,37,0, passed,,,,,,
74, MBAstar,37,0, passed,,,,,,
75, MBAstar,37,0, passed,,,,,,
76, MBAstar,37,0, passed,,,,,,
77, MBAstar,37,0, passed,,,,,,
78, MBAstar,37,0, passed,,,,,,
79, MBAstar,37,0, passed,,,,,,
80, MBAstar,37,0, passed,,,,,,
81, MBAstar,37,0, passed,,,,,,
82, MBAstar,27,0, passed,,,,,,
83, MBAstar,27,0, passed,,,,,,
84, MBAstar,27,0, passed,,,,,,
85, MBAstar,27,0, passed,,,,,,
86, MBAstar,27,0, passed,,,,,,
87, MBAstar,27,0, passed,,,,,,
88, MBAstar,27,0, passed,,,,,,
89, MBAstar,27,0, passed,,,,,,
90, MBAstar,27,0, passed,,,,,,
91, MBAstar,27,0, passed,,,,,,
92, MBAstar,27,0, passed,,,,,,
93, MBAstar,27,0, passed,,,,,,
94, MBAstar,27,0, passed,,,,,,
95, MBAstar,27,0, passed,,,,,,
96, MBAstar,27,0, passed,,,,,,
97, MBAstar,27,0, passed,,,,,,
98, MBAstar,27,0, passed,,,,,,
99, MBAstar,27,0, passed,,,,,,
100, MBAstar,27,0, passed,,,,,,
