Test, Algo, Pass, NodesExp, Shortest 
33, BFS, passed, 51, 8
33, DFS, passed, 32, 32
33, BI-DIR, passed, 5, 0
33, MBAstar, passed, 30, 0
32, Astar, passed, 43, 8
32, Greedy, passed, 8, 8
32, BFS, passed, 51, 8
32, DFS, passed, 32, 32
32, BI-DIR, passed, 5, 0
32, MBAstar, passed, 30, 0
31, Astar, passed, 43, 8
31, Greedy, passed, 8, 8
31, BFS, passed, 51, 8
31, DFS, passed, 32, 32
31, BI-DIR, passed, 5, 0
31, MBAstar, passed, 30, 0
30, Astar, passed, 43, 8
30, Greedy, passed, 8, 8
30, BFS, passed, 51, 8
30, DFS, passed, 32, 32
30, BI-DIR, passed, 5, 0
30, MBAstar, passed, 30, 0
29, Astar, passed, 43, 8
29, Greedy, passed, 8, 8
29, BFS, passed, 51, 8
29, DFS, passed, 32, 32
29, BI-DIR, passed, 5, 0
29, MBAstar, passed, 30, 0
28, Astar, passed, 43, 8
28, Greedy, passed, 8, 8
28, BFS, passed, 51, 8
28, DFS, passed, 32, 32
28, BI-DIR, passed, 5, 0
28, MBAstar, passed, 30, 0
27, Astar, passed, 43, 8
27, Greedy, passed, 8, 8
27, BFS, passed, 51, 8
27, DFS, passed, 32, 32
27, BI-DIR, passed, 5, 0
27, MBAstar, passed, 30, 0
26, Astar, passed, 43, 8
26, Greedy, passed, 8, 8
26, BFS, passed, 51, 8
26, DFS, passed, 32, 32
26, BI-DIR, passed, 5, 0
26, MBAstar, passed, 30, 0
25, Astar, passed, 43, 8
25, Greedy, passed, 8, 8
25, BFS, passed, 51, 8
25, DFS, passed, 32, 32
25, BI-DIR, passed, 5, 0
25, MBAstar, passed, 30, 0
24, Astar, passed, 43, 8
24, Greedy, passed, 8, 8
24, BFS, passed, 51, 8
24, DFS, passed, 32, 32
24, BI-DIR, passed, 5, 0
24, MBAstar, passed, 30, 0
23, Astar, passed, 43, 8
23, Greedy, passed, 8, 8
23, BFS, passed, 51, 8
23, DFS, passed, 32, 32
23, BI-DIR, passed, 5, 0
23, MBAstar, passed, 30, 0
22, Astar, passed, 43, 8
22, Greedy, passed, 8, 8
22, BFS, passed, 51, 8
22, DFS, passed, 32, 32
22, BI-DIR, passed, 5, 0
22, MBAstar, passed, 30, 0
21, Astar, passed, 40, 8
21, Greedy, passed, 8, 8
21, BFS, passed, 46, 8
21, DFS, passed, 8, 8
21, BI-DIR, passed, 7, 0
21, MBAstar, passed, 28, 0
20, Astar, passed, 40, 8
20, Greedy, passed, 8, 8
20, BFS, passed, 46, 8
20, DFS, passed, 8, 8
20, BI-DIR, passed, 7, 0
20, MBAstar, passed, 28, 0
19, Astar, passed, 40, 8
19, Greedy, passed, 8, 8
19, BFS, passed, 46, 8
